Registration,2018 Fuel Quantity,Tyre Spend
ET15LBP,4082.6,18.61
EU67NYR,3321.7,22.39
EY68UEM,505.95,22.39
DP17UMG,3379.71,23
EO62WOM,1489.02,24.26
EO63XMZ,1351.59,33
EJ15SMU,2201.21,35.59
EF18OSM,1034.05,64.19
EX67GVY,1932.33,70.24
EX15ZFN,2793.96,85.55
EX15ZFW,1990.06,85.55
EJ15JVV,1127.77,99.14
EK15KHD,1542.1,99.14
EN17ABK,1326.55,103.11
EK13LJO,1997.04,114.69
EO15NYT,3107.39,116.34
EU14ZZN,148,116.71
EU13ZTX,1137.19,117.71
EJ67NWC,1093.29,120.11
EK14YTE,1700.72,120.62
EY65EWH,2331.19,133.14
EF15GWO,4318.88,149.61
YT65ENC,68.79,158.12
EX15MDE,837.47,158.37
YK15GKN,2779.62,158.63
EK15KJE,2390.43,161.74
EY65EWL,1816.16,173.64
EK15GMX,1365.74,174.76
EF66UGG,4989.7,176.12
EA15EJK,1353.31,176.74
EN18CJU,1541.99,177.61
EA66BYF,1585.69,180.85
EK14PXW,1217.21,182.26
EO16FMC,4023.79,183.32
EX15ZGU,692.78,186.24
EN65HBY,6917.85,189.33
EK14PXX,2005.79,189.49
EA15PXW,1955.05,198.25
EK15KHB,2398.41,198.25
EK15KHF,1640.57,198.25
BP15DDJ,2581.14,200.29
EO15BHJ,1261.13,203.26
EK15KHC,2041.07,207.08
EK15DSU,1128.94,210.94
EO15NZK,1255.9,213.92
EY13BVB,398.92,229.37
EN15OBK,1207.6,235.41
EK66XVN,1757.65,235.47
EA66DFP,2065.87,247.02
HJ17LTZ,1809.28,250.75
EN15OBR,1078.86,268.71
EO62WNZ,965.31,269.87
AE66TBV,2121.04,273.01
EK15GPE,3045.25,278.72
EK15DLX,1721.45,283.04
EX15ZDP,1918.72,284.62
EO65VYL,2646.99,291.12
EK15VCX,1340.7,297.39
WG60NRL,4257.46,303.91
EO15BHE,3310.33,320.84
EA16YBH,2208.7,323.34
EA13ZXJ,2182.22,324.44
LO16XSG,1301.26,330.99
EY15KBF,1364.51,344.27
EA66DFF,1477.3,346.67
EJ15LWT,3243.03,352.88
BT15YFY,1103.02,353.71
EA15EJL,1496.16,372.72
YP13FZB,1428.1,409.03
GL61UOW,1632.42,420.72
EF17UYH,2822.46,428.17
EA65AYF,2932.05,428.27
EU15XPP,2576.13,434.75
LM63BLZ,4507.09,440.35
EK65HSF,2066.69,440.79
EK65NKG,2278.04,448.45
EX15MDN,1330.59,465.65
EJ15STZ,1591.27,473.44
EF66UEM,3186.99,479.05
EA16DZV,1612.04,487.26
EJ15JUY,3590.82,488.77
EJ15SUV,2212.47,495.85
EN15TWA,13018.22,530.87
GX66WBP,4524.17,541.08
EU14ZZV,4016.72,544.48
EO15BEJ,2729.73,548.66
EJ15SOA,2502.59,558.75
EY65EVM,2012.17,567.06
AE66SZR,5141.37,568.41
EN15TVO,2990.02,569.7
EF66UGA,2957.13,571.77
EO15BHD,1604.79,579.31
GL61UOV,3687.55,596.66
EA16YCJ,2989.61,606.61
EJ15SLV,1810.84,612.5
EA16EAJ,1239.57,618.85
EF16OBU,1859.95,624.55
EX15ZGE,6793.12,626.87
LM63YCB,1951.96,662.14
EA66BZS,1928.52,668.41
EJ15LVE,2234.5,689.29
EX16ZHG,3252.52,710.79
EO15BFF,3153.74,712.58
EY16LUP,3056.18,730.18
EF66UGO,2222.16,735.96
EX65LXJ,1742.04,748.42
EX66UCY,1551.58,781.47
EY16YKN,1660.9,781.47
EX15ZGL,829.96,781.76
EO65VYK,2569.63,788.12
EF16CUU,2420.69,831.38
AK15RXF,8406,872.56
BV14TVU,3913.04,878.64
EX66UDW,2589.59,887.76
EJ15JVU,3284.22,888.59
EJ15JVO,2538.01,1001.15
EO15BFP,3280.17,1045.85
EF66UFS,4550.77,1114.15
EF66UEX,5694.92,1127.36
GX66NKD,5414.74,1190.8
EF66UEL,3790.15,1287.64
BV14TVD,3866.69,1495.36
EJ15XSC,4003.17,1574.95
EF66UGN,4090.5,1872.51
